article title,links
"“Florida Man,” explained",https://www.vox.com/culture/23870158/reclaiming-florida-man-criminal-charges-birthday-challenge-explained
What a defense ministry shake-up may say about Ukraine’s corruption problem,https://www.vox.com/2023/9/19/23880364/ukraine-defense-ministry-dismissals-zelenskyy-unga
Stuart Russell wrote the textbook on AI safety. He explains how to keep it from spiraling out of control.,https://www.vox.com/the-gray-area/23873348/stuart-russell-artificial-intelligence-chatgpt-the-gray-area
Florida has become a zoo. A literal zoo.,https://www.vox.com/science/23818926/florida-invasive-species-iguanas-tegus-monkeys
AI that’s smarter than humans? Americans say a firm “no thank you.”,https://www.vox.com/future-perfect/2023/9/19/23879648/americans-artificial-general-intelligence-ai-policy-poll
Maren Morris distancing herself from country music underscores its existential crisis,https://www.vox.com/culture/2023/9/19/23880804/maren-morris-country-music
"Drew Barrymore tried to live, laugh, scab her way across the picket line. It didn’t work.",https://www.vox.com/culture/2023/9/19/23880858/drew-barrymore-show-writers-strike-backlash-apology
10 of the biggest — and smallest — scientific mysteries ,https://www.vox.com/unexplainable/23878777/scientific-mysteries-big-small-unexplainable-podcast
Google’s free AI isn’t just for search anymore,https://www.vox.com/technology/2023/9/19/23879526/google-bard-microsoft-openai-new-features
The US hired a leading economist to fix how it allocates foreign aid. Here’s his plan.,https://www.vox.com/future-perfect/23875344/dean-karlan-usaid-foreign-aid
Sound of Freedom wants to raise awareness about child trafficking. Here’s what it’s really doing.,https://www.vox.com/culture/23794355/sound-of-freedom-controversy-true-story-qanon
"The sexual assault allegations against Russell Brand, explained",https://www.vox.com/culture/2023/9/18/23878706/russell-brand-sexual-assault-allegations
What’s the state of the Hollywood strikes?,https://www.vox.com/culture/2023/9/18/23878883/sag-wga-strike-maher-barrymore-amptp
Take a mental break with the newest Vox crossword,https://www.vox.com/21523212/crossword-puzzles-free-daily-printable
"The impeachment trial of Texas Attorney General Ken Paxton, explained",https://www.vox.com/politics/2023/9/5/23860491/ken-paxton-impeachment-trial-texas-trump
"The US-Iran prisoner swap, briefly explained",https://www.vox.com/world-politics/2023/8/12/23829727/us-iran-prisoner-swap
"The chaotic and cinematic MGM casino hack, explained",https://www.vox.com/technology/2023/9/15/23875113/mgm-hack-casino-vishing-cybersecurity-ransomware
"We're building great things, and we need your talent.",https://www.voxmedia.com/careers
"The backlash against Ashton Kutcher and Mila Kunis, explained",https://www.vox.com/culture/2023/9/12/23870223/ashton-kutcher-mila-kunis-backlash-danny-masterson-character-letter-explained
Has Apple Pay made it too easy to spend money? ,https://www.vox.com/money/23875697/ios-17-apple-pay-overspending-tap-to-pay-tech
Get Vox in your inbox. Sign up for Vox’s free newsletters.,https://www.vox.com/pages/newsletters
The Supreme Court’s new term will be dominated by dangerous and incoherent lawsuits,https://www.vox.com/scotus/23845702/supreme-court-fifth-circuit-term-cfpb-guns-voting-chevron
"Vox, explain it to me",https://www.vox.com/23700653/explain-it-to-me-crowdsourcing-ask-vox
The ocean is rising — and so is Miami’s skyline,https://www.vox.com/climate/23872640/coastal-climate-ocean-rising-miami-florida-building
The mind-boggling scale of Disney World,https://www.vox.com/culture/23872087/disney-world-scale-economics-orlando-vacation
The United States of Florida,https://www.vox.com/culture/23864468/florida-man-invasive-species-republican-disney-publix-miami
Florida’s favorite grocery store seeks to be uncomplicated in a complicated world,https://www.vox.com/money/23862003/publix-fans-florida-politics-messi-grocery-store
The dream — and reality — of moving to Florida ,https://www.vox.com/cities-and-urbanism/23853800/florida-population-growth-newcomers-migration
How Florida became the center of the Republican universe,https://www.vox.com/politics/23848897/florida-red-trump-desantis-republican-2024-election
"Trump, on Meet the Press, shows he still has no policy plans ",https://www.vox.com/2023/9/17/23877343/trump-meet-the-press-presidential-election-2024
The terrible paradox of air pollution and climate change,https://www.vox.com/climate/23806051/air-pollution-climate-change-global-warming-particles-emissions
Should you be friends with your kids?,https://www.vox.com/even-better/23864487/should-you-be-friends-with-your-kids-no-authoritative-permissive
America’s most iconic coral reef is dying. Only one thing will save it.,https://www.vox.com/climate/23868423/florida-coral-reef-bleaching-heat-wave-climate-change
What’s up with China’s disappearing senior military officers?,https://www.vox.com/2023/9/16/23876562/china-disappearing-senior-military-officers-li-shangfu-xi-jinping-peoples-liberation-army
"The UAW’s big asks, unusual strike strategy, and what this all means for you",https://www.vox.com/2023/9/15/23875044/uaw-strike-news-contract-demands-wentzville-toledo-wayne
Take the visitor’s approach to exploring your own city,https://www.vox.com/even-better/23801678/explore-your-city-tourist
How Covid misinformation stayed one step ahead of Facebook,https://www.vox.com/technology/2023/9/16/23875579/facebook-meta-vaccine-covid-19-misinformation-study
Apple has an AirPod repair problem,https://www.vox.com/2023/9/16/23875582/apple-airpod-repair-battery-right-to-repair-act
22 movies to watch for this fall,https://www.vox.com/culture/23875200/fall-2023-movies-tiff
Even Better,https://www.vox.com/even-better
The true story of the fake unboxed aliens is wilder than actual aliens ,https://www.vox.com/culture/23875671/aliens-mexican-congress-real-or-hoax-peru-nazca-mummies-jaime-maussan-fraud-scam
Why are so many useless cold medicines littering pharmacy shelves? ,https://www.vox.com/science/2023/9/15/23873766/phenylephrine-fda-sudafed-nyquil-dayquil-pharmacy-ineffective
5 new books (and one very old one) to read in order to understand capitalism,https://www.vox.com/2023/9/15/23873898/today-explained-capitalism-economics-books-to-read
The fate of hundreds of thousands of immigrants is caught in an endless court fight,https://www.vox.com/politics/2023/9/15/23874992/daca-immigration-ruling-biden-regulation-dreamers
Lots of Americans are in the global 1%. A tenth of their income could transform the world.,https://www.vox.com/future-perfect/2023/9/15/23874111/charity-philanthropy-americans-global-rich
"Inside the very strange, very expensive race to “de-age”",https://www.vox.com/money/23798848/deaging-longevity-billionaires-rejuvenation-olympics
Three reasons Biden is struggling with Black and Latino voters,https://www.vox.com/2024-elections/23873568/biden-polling-black-latino-voters-2024-election-trump
Washington and Wall Street are split over China. What now?,https://www.vox.com/world-politics/2023/9/15/23874025/china-washington-wall-street-cold-war
